client_id,joined,income,credit_score
26579,2014-10-01,94457,597
36238,2010-04-04,135768,795
46134,2006-02-05,143127,791
32364,2004-12-05,186151,769
25116,2011-03-12,169048,655
39023,2014-02-06,228726,530
26546,2008-03-06,190258,842
41881,2004-04-22,149302,673
48539,2003-08-07,111510,836
37121,2003-08-09,238487,753
42964,2000-04-28,37893,621
39856,2012-08-24,147849,696
27861,2011-04-24,118580,530
27564,2003-04-25,64133,733
28828,2004-12-26,183597,736
34394,2010-07-05,184000,633
26429,2006-12-08,199527,846
26211,2012-07-09,228913,555
44690,2003-12-16,91107,691
40113,2004-06-26,169738,810
45923,2005-12-05,133968,731
28261,2007-05-28,65332,604
48903,2012-02-18,228609,665
30120,2007-06-07,203779,514
25527,2008-06-06,84744,674
